                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
35,1.2109,0.83814,0.93796,0.51262,0.38786,0.45133,0.26263,1.154,0.80888,0.91608,0.008878,0.008878,0.008878
36,1.2059,0.83042,0.93584,0.52515,0.39362,0.45774,0.26665,1.1495,0.79835,0.91537,0.008845,0.008845,0.008845
37,1.2052,0.82728,0.93594,0.52063,0.39462,0.45839,0.26677,1.1447,0.80027,0.91215,0.008812,0.008812,0.008812
38,1.2032,0.81919,0.93183,0.52559,0.39385,0.4598,0.26859,1.1436,0.79931,0.91096,0.008779,0.008779,0.008779
39,1.1976,0.81812,0.9329,0.53075,0.39893,0.46477,0.27061,1.1387,0.79211,0.91167,0.008746,0.008746,0.008746
40,1.1972,0.81229,0.93078,0.5214,0.3968,0.46003,0.26949,1.1382,0.79393,0.91114,0.008713,0.008713,0.008713
41,1.1888,0.80668,0.93148,0.53313,0.39935,0.46738,0.27313,1.1346,0.78924,0.90948,0.00868,0.00868,0.00868
42,1.1858,0.8047,0.92974,0.52995,0.39846,0.46573,0.27341,1.1321,0.78422,0.90956,0.008647,0.008647,0.008647
43,1.1862,0.80069,0.92776,0.54326,0.40091,0.47032,0.27571,1.1289,0.78421,0.90811,0.008614,0.008614,0.008614
44,1.1809,0.79927,0.92755,0.53627,0.39853,0.47008,0.27435,1.1281,0.78466,0.90887,0.008581,0.008581,0.008581
45,1.1735,0.79145,0.92707,0.52584,0.40519,0.47104,0.27706,1.1246,0.78027,0.90702,0.008548,0.008548,0.008548
46,1.1742,0.79046,0.92669,0.52779,0.40932,0.47348,0.27815,1.1258,0.7806,0.90746,0.008515,0.008515,0.008515
47,1.1733,0.78407,0.92615,0.53381,0.40093,0.47267,0.27701,1.127,0.77604,0.90837,0.008482,0.008482,0.008482
48,1.1616,0.77839,0.92543,0.54257,0.40585,0.47335,0.27772,1.1227,0.77656,0.90717,0.008449,0.008449,0.008449
49,1.1678,0.78095,0.92401,0.54014,0.41488,0.4813,0.2834,1.1146,0.76696,0.90491,0.008416,0.008416,0.008416
50,1.162,0.77397,0.92039,0.54588,0.40553,0.47797,0.2821,1.1174,0.76875,0.90585,0.008383,0.008383,0.008383
51,1.1546,0.76739,0.92159,0.54395,0.40777,0.48234,0.28396,1.1127,0.76352,0.90452,0.00835,0.00835,0.00835
52,1.1581,0.77287,0.92065,0.54534,0.40612,0.48077,0.28422,1.1147,0.76764,0.9042,0.008317,0.008317,0.008317
53,1.1624,0.76612,0.92097,0.53861,0.41449,0.48089,0.28459,1.1118,0.76483,0.9034,0.008284,0.008284,0.008284
54,1.1501,0.7618,0.91865,0.54592,0.41124,0.48337,0.28592,1.1088,0.76136,0.90398,0.008251,0.008251,0.008251
55,1.148,0.75559,0.91897,0.53843,0.41367,0.48287,0.28581,1.1108,0.76341,0.90426,0.008218,0.008218,0.008218
56,1.1443,0.75154,0.92056,0.54127,0.41719,0.48416,0.28571,1.1078,0.75948,0.90276,0.008185,0.008185,0.008185
57,1.1399,0.74998,0.91753,0.55365,0.41713,0.48771,0.28789,1.1073,0.75818,0.90309,0.008152,0.008152,0.008152
58,1.1512,0.75592,0.91894,0.54862,0.42055,0.48941,0.29013,1.105,0.7541,0.90238,0.008119,0.008119,0.008119
59,1.1386,0.74563,0.91767,0.54382,0.41912,0.49072,0.2894,1.104,0.75402,0.90171,0.008086,0.008086,0.008086
