                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.1427,                  1.422,                 1.2559,                0.54546,                0.38702,                0.40284,                0.27212,                    nan,                    nan,                    nan,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.1419,                 1.4233,                 1.2561,                0.53974,                0.39058,                0.40256,                0.27215,                    nan,                    nan,                    nan,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.1403,                 1.4196,                 1.2538,                0.53985,                0.39026,                0.40262,                0.27183,                    nan,                    nan,                    nan,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.1399,                 1.4142,                 1.2548,                 0.5407,                0.39053,                0.40312,                0.27222,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     82,                 1.1377,                 1.4156,                 1.2526,                0.53727,                0.39212,                0.40321,                0.27267,                    nan,                    nan,                    nan,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.1365,                 1.4069,                 1.2503,                0.53472,                0.39076,                 0.4032,                0.27227,                    nan,                    nan,                    nan,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.1349,                 1.4034,                 1.2494,                0.53384,                0.39267,                0.40354,                0.27295,                    nan,                    nan,                    nan,              0.0083566,              0.0083566,              0.0083566
                     85,                  1.122,                 1.3778,                 1.2435,                 0.5373,                0.39249,                0.40411,                0.27327,                    nan,                    nan,                    nan,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.1167,                  1.365,                 1.2387,                0.53984,                0.39301,                 0.4039,                0.27357,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     87,                 1.1325,                 1.4067,                 1.2523,                0.53749,                0.39302,                0.40429,                0.27382,                    nan,                    nan,                    nan,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.1351,                 1.4092,                 1.2527,                0.53722,                0.39319,                0.40454,                0.27372,                    nan,                    nan,                    nan,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.1376,                 1.4132,                 1.2535,                0.54352,                 0.3914,                 0.4048,                0.27404,                    nan,                    nan,                    nan,              0.0082576,              0.0082576,              0.0082576
                     90,                  1.134,                 1.4083,                 1.2521,                0.54973,                0.38811,                0.40525,                0.27411,                    nan,                    nan,                    nan,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.1352,                 1.4103,                 1.2523,                 0.5519,                 0.3862,                0.40524,                0.27443,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     92,                  1.137,                 1.4067,                 1.2513,                0.55233,                0.38615,                0.40552,                0.27441,                    nan,                    nan,                    nan,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.1345,                 1.4024,                 1.2486,                0.55731,                0.38399,                0.40522,                0.27411,                    nan,                    nan,                    nan,              0.0081784,              0.0081784,              0.0081784
                     94,                 1.1341,                 1.3979,                 1.2481,                0.55528,                0.38608,                0.40504,                0.27418,                    nan,                    nan,                    nan,              0.0081586,              0.0081586,              0.0081586
                     95,                 1.1292,                 1.3968,                 1.2456,                0.55598,                0.38629,                0.40533,                0.27445,                    nan,                    nan,                    nan,              0.0081388,              0.0081388,              0.0081388
                     96,                 1.1326,                 1.3972,                 1.2462,                0.55576,                0.38458,                0.40525,                0.27429,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     97,                 1.1307,                 1.3942,                  1.246,                0.55279,                0.38684,                0.40503,                0.27415,                    nan,                    nan,                    nan,              0.0080992,              0.0080992,              0.0080992
                     98,                 1.1297,                 1.3919,                 1.2458,                0.54925,                0.38772,                0.40474,                0.27391,                    nan,                    nan,                    nan,              0.0080794,              0.0080794,              0.0080794
                     99,                 1.1305,                 1.3884,                 1.2453,                0.55284,                0.38819,                 0.4051,                0.27378,                    nan,                    nan,                    nan,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.1287,                 1.3906,                 1.2449,                0.55534,                0.38602,                 0.4058,                0.27443,                    nan,                    nan,                    nan,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.1258,                 1.3775,                 1.2416,                0.55416,                0.38737,                0.40615,                0.27453,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                    102,                 1.1269,                 1.3797,                 1.2419,                0.55199,                0.38833,                0.40572,                0.27487,                    nan,                    nan,                    nan,              0.0080002,              0.0080002,              0.0080002
                    103,                 1.1266,                 1.3782,                 1.2398,                0.55104,                0.38789,                0.40578,                0.27471,                    nan,                    nan,                    nan,              0.0079804,              0.0079804,              0.0079804
                    104,                 1.1233,                 1.3749,                 1.2394,                0.55363,                0.38642,                0.40534,                0.27454,                    nan,                    nan,                    nan,              0.0079606,              0.0079606,              0.0079606
                    105,                 1.1238,                 1.3737,                 1.2393,                0.55963,                0.38345,                0.40551,                0.27442,                    nan,                    nan,                    nan,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.1246,                  1.372,                 1.2383,                0.56488,                0.38052,                0.40582,                0.27463,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                    107,                 1.1194,                 1.3695,                  1.238,                0.56898,                0.37944,                0.40612,                0.27463,                    nan,                    nan,                    nan,              0.0079012,              0.0079012,              0.0079012
                    108,                 1.1234,                 1.3672,                 1.2362,                0.55834,                0.38449,                0.40588,                0.27494,                    nan,                    nan,                    nan,              0.0078814,              0.0078814,              0.0078814
                    109,                 1.1213,                 1.3649,                 1.2365,                0.55651,                0.38448,                0.40621,                0.27519,                    nan,                    nan,                    nan,              0.0078616,              0.0078616,              0.0078616
                    110,                 1.1177,                 1.3601,                  1.235,                0.55548,                0.38485,                0.40581,                0.27484,                    nan,                    nan,                    nan,              0.0078418,              0.0078418,              0.0078418
                    111,                 1.1173,                 1.3577,                  1.234,                0.55166,                0.38649,                0.40581,                0.27489,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
                    112,                 1.1191,                 1.3574,                 1.2345,                0.55471,                0.38585,                0.40593,                0.27507,                    nan,                    nan,                    nan,              0.0078022,              0.0078022,              0.0078022
                    113,                 1.1189,                 1.3569,                 1.2348,                0.55265,                0.38803,                0.40549,                  0.275,                    nan,                    nan,                    nan,              0.0077824,              0.0077824,              0.0077824
                    114,                 1.1169,                 1.3573,                 1.2345,                0.54347,                 0.3925,                0.40556,                0.27512,                    nan,                    nan,                    nan,              0.0077626,              0.0077626,              0.0077626
                    115,                 1.1173,                 1.3518,                  1.232,                0.54284,                0.39278,                0.40582,                0.27557,                    nan,                    nan,                    nan,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.1164,                 1.3492,                 1.2315,                0.54373,                0.39311,                0.40688,                0.27603,                    nan,                    nan,                    nan,               0.007723,               0.007723,               0.007723
                    117,                 1.1134,                 1.3465,                 1.2306,                0.55359,                 0.3888,                0.40734,                0.27606,                    nan,                    nan,                    nan,              0.0077032,              0.0077032,              0.0077032
                    118,                  1.115,                 1.3498,                 1.2314,                0.55317,                 0.3885,                0.40729,                0.27631,                    nan,                    nan,                    nan,              0.0076834,              0.0076834,              0.0076834
                    119,                 1.1129,                 1.3437,                 1.2289,                0.55159,                0.38956,                0.40734,                 0.2762,                    nan,                    nan,                    nan,              0.0076636,              0.0076636,              0.0076636
                    120,                  1.112,                 1.3397,                 1.2281,                0.55205,                0.38813,                0.40751,                0.27622,                    nan,                    nan,                    nan,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.1119,                   1.34,                  1.229,                0.55815,                0.38574,                0.40831,                0.27652,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                    122,                 1.1095,                 1.3391,                 1.2266,                0.55821,                0.38492,                0.40827,                0.27662,                    nan,                    nan,                    nan,              0.0076042,              0.0076042,              0.0076042
                    123,                 1.1102,                 1.3383,                 1.2272,                0.55216,                0.38881,                0.40829,                 0.2768,                    nan,                    nan,                    nan,              0.0075844,              0.0075844,              0.0075844
                    124,                 1.1111,                 1.3363,                 1.2254,                0.55013,                0.38901,                0.40781,                0.27689,                    nan,                    nan,                    nan,              0.0075646,              0.0075646,              0.0075646
                    125,                 1.1079,                 1.3335,                 1.2251,                0.54767,                0.39108,                0.40825,                0.27692,                    nan,                    nan,                    nan,              0.0075448,              0.0075448,              0.0075448
                    126,                 1.1083,                 1.3327,                 1.2239,                0.55429,                0.38833,                0.40834,                  0.277,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                    127,                 1.1058,                 1.3262,                 1.2242,                 0.5543,                0.38719,                0.40871,                0.27753,                    nan,                    nan,                    nan,              0.0075052,              0.0075052,              0.0075052
                    128,                 1.1076,                 1.3284,                  1.224,                 0.5497,                0.38975,                0.40894,                0.27737,                    nan,                    nan,                    nan,              0.0074854,              0.0074854,              0.0074854
                    129,                 1.1058,                 1.3279,                 1.2239,                0.55557,                0.38783,                0.40868,                 0.2774,                    nan,                    nan,                    nan,              0.0074656,              0.0074656,              0.0074656
                    130,                 1.1059,                 1.3232,                 1.2219,                0.55994,                0.38582,                0.40888,                0.27759,                    nan,                    nan,                    nan,              0.0074458,              0.0074458,              0.0074458
                    131,                 1.1056,                 1.3227,                 1.2235,                0.54977,                0.39162,                0.40886,                0.27799,                    nan,                    nan,                    nan,               0.007426,               0.007426,               0.007426
                    132,                 1.1039,                 1.3261,                 1.2213,                0.54287,                0.39444,                0.40845,                0.27739,                    nan,                    nan,                    nan,              0.0074062,              0.0074062,              0.0074062
                    133,                 1.1035,                 1.3179,                 1.2199,                0.54663,                0.39335,                0.40893,                0.27788,                    nan,                    nan,                    nan,              0.0073864,              0.0073864,              0.0073864
                    134,                 1.1022,                 1.3172,                 1.2202,                 0.5498,                0.39249,                0.40863,                  0.278,                    nan,                    nan,                    nan,              0.0073666,              0.0073666,              0.0073666
                    135,                 1.1009,                 1.3186,                 1.2199,                0.54968,                0.39288,                0.40903,                0.27777,                    nan,                    nan,                    nan,              0.0073468,              0.0073468,              0.0073468
                    136,                 1.1032,                 1.3139,                 1.2182,                0.56467,                0.38501,                0.40817,                0.27758,                    nan,                    nan,                    nan,               0.007327,               0.007327,               0.007327
                    137,                 1.1022,                 1.3123,                 1.2193,                0.56179,                0.38859,                0.40835,                0.27754,                    nan,                    nan,                    nan,              0.0073072,              0.0073072,              0.0073072
                    138,                 1.1027,                 1.3123,                 1.2188,                0.56885,                0.38745,                0.40893,                0.27782,                    nan,                    nan,                    nan,              0.0072874,              0.0072874,              0.0072874
                    139,                 1.1014,                 1.3097,                   1.22,                0.56823,                0.38746,                0.40851,                0.27783,                    nan,                    nan,                    nan,              0.0072676,              0.0072676,              0.0072676
