                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
76,1.3307,0.96066,1.0566,0.56058,0.45537,0.47512,0.29381,1.2734,0.92209,1.0408,0.0081437,0.0081437,0.0081437
77,1.3265,0.95269,1.057,0.56869,0.45684,0.47852,0.29518,1.271,0.91958,1.0395,0.008119,0.008119,0.008119
78,1.3253,0.95333,1.0518,0.56315,0.45626,0.47904,0.29586,1.2702,0.91965,1.0394,0.0080942,0.0080942,0.0080942
79,1.3189,0.95082,1.0543,0.56096,0.45772,0.47807,0.29549,1.2721,0.91874,1.0393,0.0080695,0.0080695,0.0080695
80,1.3216,0.95133,1.0535,0.57349,0.45445,0.48082,0.29768,1.2702,0.91753,1.0392,0.0080447,0.0080447,0.0080447
81,1.32,0.94945,1.0536,0.57117,0.45617,0.48036,0.29678,1.269,0.91448,1.0381,0.00802,0.00802,0.00802
82,1.3174,0.94373,1.0539,0.56851,0.46115,0.48088,0.29791,1.2702,0.91313,1.0382,0.0079953,0.0079953,0.0079953
83,1.3131,0.94028,1.0491,0.56352,0.46464,0.48416,0.29844,1.2691,0.90995,1.0382,0.0079705,0.0079705,0.0079705
84,1.3106,0.93533,1.0504,0.57815,0.45759,0.4845,0.29929,1.2661,0.90952,1.0372,0.0079457,0.0079457,0.0079457
85,1.3117,0.93298,1.0499,0.57008,0.46309,0.48506,0.29971,1.2656,0.90898,1.0367,0.007921,0.007921,0.007921
86,1.3113,0.93331,1.0496,0.57139,0.46395,0.48558,0.30018,1.2659,0.90943,1.0365,0.0078963,0.0078963,0.0078963
87,1.3139,0.93283,1.0507,0.57061,0.4675,0.48614,0.3009,1.2657,0.90706,1.0358,0.0078715,0.0078715,0.0078715
88,1.3103,0.93235,1.049,0.57531,0.46368,0.48674,0.30145,1.2656,0.90756,1.0357,0.0078467,0.0078467,0.0078467
89,1.3092,0.92835,1.0459,0.5793,0.45972,0.48484,0.30032,1.2668,0.90646,1.0356,0.007822,0.007822,0.007822
90,1.3159,0.93254,1.0502,0.57469,0.46313,0.4859,0.30046,1.2664,0.905,1.0351,0.0077973,0.0077973,0.0077973
91,1.3126,0.9283,1.0455,0.58385,0.4595,0.4864,0.30069,1.2654,0.9046,1.0347,0.0077725,0.0077725,0.0077725
92,1.3017,0.92591,1.0464,0.57596,0.46551,0.48633,0.30137,1.2644,0.90385,1.0347,0.0077478,0.0077478,0.0077478
93,1.3068,0.92388,1.0453,0.57606,0.46646,0.48797,0.30139,1.2648,0.90324,1.0352,0.007723,0.007723,0.007723
94,1.3046,0.91844,1.0458,0.57867,0.4663,0.48906,0.30258,1.2642,0.90245,1.0345,0.0076983,0.0076983,0.0076983
95,1.3043,0.915,1.0439,0.58567,0.46436,0.48949,0.30366,1.264,0.90025,1.0345,0.0076735,0.0076735,0.0076735
96,1.3037,0.91446,1.0409,0.58597,0.4595,0.48962,0.30284,1.2627,0.90003,1.0335,0.0076488,0.0076488,0.0076488
97,1.2939,0.90874,1.0409,0.5738,0.46834,0.49018,0.30339,1.2626,0.90001,1.0327,0.007624,0.007624,0.007624
98,1.3023,0.91526,1.0421,0.5728,0.46896,0.49084,0.30382,1.2607,0.89826,1.0325,0.0075993,0.0075993,0.0075993
99,1.3,0.9157,1.0435,0.57569,0.46832,0.48939,0.303,1.2603,0.8988,1.0327,0.0075745,0.0075745,0.0075745
100,1.2927,0.90867,1.0417,0.57375,0.46976,0.49036,0.30381,1.2598,0.89879,1.0324,0.0075498,0.0075498,0.0075498
101,1.2962,0.90752,1.0412,0.57204,0.47441,0.49218,0.3051,1.2586,0.89778,1.0315,0.007525,0.007525,0.007525
102,1.2898,0.89995,1.0382,0.57126,0.47346,0.49269,0.3058,1.2577,0.89595,1.0313,0.0075003,0.0075003,0.0075003
103,1.2942,0.90844,1.0416,0.57228,0.47511,0.49322,0.30597,1.2567,0.89462,1.0313,0.0074755,0.0074755,0.0074755
104,1.2949,0.90724,1.0372,0.57214,0.47217,0.49284,0.30583,1.2571,0.89485,1.0313,0.0074507,0.0074507,0.0074507
105,1.2909,0.90079,1.0361,0.57864,0.46904,0.49394,0.30665,1.2561,0.89303,1.031,0.007426,0.007426,0.007426
106,1.2845,0.89694,1.0369,0.58221,0.46645,0.49418,0.3073,1.2549,0.89163,1.0304,0.0074013,0.0074013,0.0074013
107,1.2912,0.90045,1.0372,0.58214,0.46741,0.49499,0.30774,1.2546,0.89091,1.0303,0.0073765,0.0073765,0.0073765
108,1.2863,0.8914,1.0354,0.58294,0.46748,0.49595,0.30814,1.255,0.89041,1.0304,0.0073517,0.0073517,0.0073517
109,1.2829,0.89342,1.0356,0.58396,0.46753,0.49666,0.30873,1.2549,0.88946,1.0306,0.007327,0.007327,0.007327
110,1.2838,0.89114,1.0366,0.58583,0.46757,0.497,0.30896,1.2552,0.88877,1.0306,0.0073023,0.0073023,0.0073023
111,1.2841,0.89181,1.0355,0.5809,0.47242,0.49744,0.30913,1.2558,0.8891,1.0306,0.0072775,0.0072775,0.0072775
112,1.2841,0.89214,1.0365,0.58066,0.47182,0.49798,0.30929,1.2564,0.88845,1.0305,0.0072527,0.0072527,0.0072527
113,1.285,0.89199,1.0353,0.57928,0.47229,0.49855,0.30927,1.2555,0.88725,1.0298,0.007228,0.007228,0.007228
114,1.2791,0.8856,1.0334,0.5799,0.47232,0.49846,0.30926,1.2552,0.88719,1.0296,0.0072033,0.0072033,0.0072033
115,1.2838,0.88658,1.0356,0.578,0.47332,0.49883,0.30925,1.2555,0.88693,1.0296,0.0071785,0.0071785,0.0071785
116,1.2773,0.87915,1.0312,0.58239,0.47466,0.49921,0.30971,1.2544,0.88611,1.0293,0.0071538,0.0071538,0.0071538
117,1.277,0.8812,1.0333,0.58562,0.47102,0.49992,0.3101,1.2541,0.88584,1.0292,0.007129,0.007129,0.007129
118,1.2813,0.88255,1.0351,0.58933,0.47183,0.50087,0.3107,1.2537,0.88525,1.0289,0.0071042,0.0071042,0.0071042
119,1.2717,0.87415,1.0311,0.58204,0.47843,0.50031,0.31063,1.2535,0.88495,1.0284,0.0070795,0.0070795,0.0070795
120,1.2766,0.87818,1.0304,0.58696,0.47385,0.50034,0.31045,1.2534,0.88441,1.0284,0.0070547,0.0070547,0.0070547
121,1.2682,0.87062,1.0291,0.58938,0.47483,0.50148,0.31115,1.2524,0.88338,1.0279,0.00703,0.00703,0.00703
122,1.2721,0.87227,1.0297,0.58972,0.47309,0.50115,0.31096,1.2526,0.88299,1.0279,0.0070053,0.0070053,0.0070053
123,1.2777,0.87218,1.0308,0.58494,0.47581,0.50183,0.31146,1.2525,0.88248,1.0278,0.0069805,0.0069805,0.0069805
